Bangalicon FREE Manifest
Generated: 2026-08-11T13:02:08.414Z
CDN CSS: http://localhost:5000/cdn/free/bangalicon-free.css
Total icons: 520

bg-add | regular | free | \e908 | http://localhost:5000/cdn/free/icons/add.svg
bg-add-circle | regular | free | \e909 | http://localhost:5000/cdn/free/icons/add-circle.svg
bgs-add-circle | solid | free | \e90a | http://localhost:5000/cdn/free/icons/add-circle--solid.svg
bg-add-square | regular | free | \e90b | http://localhost:5000/cdn/free/icons/add-square.svg
bgs-add-square | solid | free | \e90c | http://localhost:5000/cdn/free/icons/add-square--solid.svg
bg-alarm | regular | free | \e90d | http://localhost:5000/cdn/free/icons/alarm.svg
bgs-alarm | solid | free | \e90e | http://localhost:5000/cdn/free/icons/alarm--solid.svg
bg-alarm-check | regular | free | \e90f | http://localhost:5000/cdn/free/icons/alarm-check.svg
bgs-alarm-check | solid | free | \e910 | http://localhost:5000/cdn/free/icons/alarm-check--solid.svg
bg-alarm-close | regular | free | \e911 | http://localhost:5000/cdn/free/icons/alarm-close.svg
bgs-alarm-close | solid | free | \e912 | http://localhost:5000/cdn/free/icons/alarm-close--solid.svg
bg-alarm-off | regular | free | \e913 | http://localhost:5000/cdn/free/icons/alarm-off.svg
bgs-alarm-off | solid | free | \e914 | http://localhost:5000/cdn/free/icons/alarm-off--solid.svg
bgl-alipay | brand | free | \e915 | http://localhost:5000/cdn/free/icons/alipay--brand.svg
bgl-amazon | brand | free | \e916 | http://localhost:5000/cdn/free/icons/amazon--brand.svg
bgl-amplify | brand | free | \e917 | http://localhost:5000/cdn/free/icons/amplify--brand.svg
bgl-android | brand | free | \e918 | http://localhost:5000/cdn/free/icons/android--brand.svg
bgl-angular | brand | free | \e919 | http://localhost:5000/cdn/free/icons/angular--brand.svg
bgl-apple | brand | free | \e91a | http://localhost:5000/cdn/free/icons/apple--brand.svg
bgl-apple-appstore | brand | free | \e91b | http://localhost:5000/cdn/free/icons/apple-appstore--brand.svg
bg-apps | regular | free | \e91c | http://localhost:5000/cdn/free/icons/apps.svg
bg-arrow-align-center-horiz | regular | free | \e91d | http://localhost:5000/cdn/free/icons/arrow-align-center-horiz.svg
bg-arrow-align-center-vert | regular | free | \e91e | http://localhost:5000/cdn/free/icons/arrow-align-center-vert.svg
bg-arrow-align-down | regular | free | \e91f | http://localhost:5000/cdn/free/icons/arrow-align-down.svg
bg-arrow-align-left | regular | free | \e920 | http://localhost:5000/cdn/free/icons/arrow-align-left.svg
bg-arrow-align-right | regular | free | \e921 | http://localhost:5000/cdn/free/icons/arrow-align-right.svg
bg-arrow-align-up | regular | free | \e922 | http://localhost:5000/cdn/free/icons/arrow-align-up.svg
bg-arrow-down | regular | free | \e923 | http://localhost:5000/cdn/free/icons/arrow-down.svg
bg-arrow-down-circle | regular | free | \e924 | http://localhost:5000/cdn/free/icons/arrow-down-circle.svg
bgs-arrow-down-circle | solid | free | \e925 | http://localhost:5000/cdn/free/icons/arrow-down-circle--solid.svg
bg-arrow-down-left | regular | free | \e926 | http://localhost:5000/cdn/free/icons/arrow-down-left.svg
bg-arrow-down-left-circle | regular | free | \e927 | http://localhost:5000/cdn/free/icons/arrow-down-left-circle.svg
bgs-arrow-down-left-circle | solid | free | \e928 | http://localhost:5000/cdn/free/icons/arrow-down-left-circle--solid.svg
bg-arrow-down-right | regular | free | \e929 | http://localhost:5000/cdn/free/icons/arrow-down-right.svg
bg-arrow-down-right-circle | regular | free | \e92a | http://localhost:5000/cdn/free/icons/arrow-down-right-circle.svg
bgs-arrow-down-right-circle | solid | free | \e92b | http://localhost:5000/cdn/free/icons/arrow-down-right-circle--solid.svg
bg-arrow-drop-down | regular | free | \e92c | http://localhost:5000/cdn/free/icons/arrow-drop-down.svg
bg-arrow-drop-down-circle | regular | free | \e92d | http://localhost:5000/cdn/free/icons/arrow-drop-down-circle.svg
bgs-arrow-drop-down-circle | solid | free | \e92e | http://localhost:5000/cdn/free/icons/arrow-drop-down-circle--solid.svg
bg-arrow-drop-down-square | regular | free | \e92f | http://localhost:5000/cdn/free/icons/arrow-drop-down-square.svg
bgs-arrow-drop-down-square | solid | free | \e930 | http://localhost:5000/cdn/free/icons/arrow-drop-down-square--solid.svg
bg-arrow-drop-left | regular | free | \e931 | http://localhost:5000/cdn/free/icons/arrow-drop-left.svg
bg-arrow-drop-left-circle | regular | free | \e932 | http://localhost:5000/cdn/free/icons/arrow-drop-left-circle.svg
bgs-arrow-drop-left-circle | solid | free | \e933 | http://localhost:5000/cdn/free/icons/arrow-drop-left-circle--solid.svg
bg-arrow-drop-left-square | regular | free | \e934 | http://localhost:5000/cdn/free/icons/arrow-drop-left-square.svg
bgs-arrow-drop-left-square | solid | free | \e935 | http://localhost:5000/cdn/free/icons/arrow-drop-left-square--solid.svg
bg-arrow-drop-right | regular | free | \e936 | http://localhost:5000/cdn/free/icons/arrow-drop-right.svg
bg-arrow-drop-right-circle | regular | free | \e937 | http://localhost:5000/cdn/free/icons/arrow-drop-right-circle.svg
bgs-arrow-drop-right-circle | solid | free | \e938 | http://localhost:5000/cdn/free/icons/arrow-drop-right-circle--solid.svg
bg-arrow-drop-right-square | regular | free | \e939 | http://localhost:5000/cdn/free/icons/arrow-drop-right-square.svg
bgs-arrow-drop-right-square | solid | free | \e93a | http://localhost:5000/cdn/free/icons/arrow-drop-right-square--solid.svg
bg-arrow-drop-up | regular | free | \e93b | http://localhost:5000/cdn/free/icons/arrow-drop-up.svg
bg-arrow-drop-up-circle | regular | free | \e93c | http://localhost:5000/cdn/free/icons/arrow-drop-up-circle.svg
bgs-arrow-drop-up-circle | solid | free | \e93d | http://localhost:5000/cdn/free/icons/arrow-drop-up-circle--solid.svg
bg-arrow-drop-up-square | regular | free | \e93e | http://localhost:5000/cdn/free/icons/arrow-drop-up-square.svg
bgs-arrow-drop-up-square | solid | free | \e93f | http://localhost:5000/cdn/free/icons/arrow-drop-up-square--solid.svg
bg-arrow-end-down | regular | free | \e940 | http://localhost:5000/cdn/free/icons/arrow-end-down.svg
bg-arrow-end-left | regular | free | \e941 | http://localhost:5000/cdn/free/icons/arrow-end-left.svg
bg-arrow-end-right | regular | free | \e942 | http://localhost:5000/cdn/free/icons/arrow-end-right.svg
bg-arrow-end-up | regular | free | \e943 | http://localhost:5000/cdn/free/icons/arrow-end-up.svg
bg-arrow-in-down | regular | free | \e944 | http://localhost:5000/cdn/free/icons/arrow-in-down.svg
bg-arrow-in-left | regular | free | \e945 | http://localhost:5000/cdn/free/icons/arrow-in-left.svg
bg-arrow-in-right | regular | free | \e946 | http://localhost:5000/cdn/free/icons/arrow-in-right.svg
bg-arrow-in-up | regular | free | \e947 | http://localhost:5000/cdn/free/icons/arrow-in-up.svg
bg-arrow-key-down | regular | free | \e948 | http://localhost:5000/cdn/free/icons/arrow-key-down.svg
bg-arrow-key-down-circle | regular | free | \e949 | http://localhost:5000/cdn/free/icons/arrow-key-down-circle.svg
bgs-arrow-key-down-circle | solid | free | \e94a | http://localhost:5000/cdn/free/icons/arrow-key-down-circle--solid.svg
bg-arrow-key-left | regular | free | \e94b | http://localhost:5000/cdn/free/icons/arrow-key-left.svg
bg-arrow-key-left-circle | regular | free | \e94c | http://localhost:5000/cdn/free/icons/arrow-key-left-circle.svg
bgs-arrow-key-left-circle | solid | free | \e94d | http://localhost:5000/cdn/free/icons/arrow-key-left-circle--solid.svg
bg-arrow-key-right | regular | free | \e94e | http://localhost:5000/cdn/free/icons/arrow-key-right.svg
bg-arrow-key-right-circle | regular | free | \e94f | http://localhost:5000/cdn/free/icons/arrow-key-right-circle.svg
bgs-arrow-key-right-circle | solid | free | \e950 | http://localhost:5000/cdn/free/icons/arrow-key-right-circle--solid.svg
bg-arrow-key-up | regular | free | \e951 | http://localhost:5000/cdn/free/icons/arrow-key-up.svg
bg-arrow-key-up-circle | regular | free | \e952 | http://localhost:5000/cdn/free/icons/arrow-key-up-circle.svg
bgs-arrow-key-up-circle | solid | free | \e953 | http://localhost:5000/cdn/free/icons/arrow-key-up-circle--solid.svg
bg-arrow-left | regular | free | \e954 | http://localhost:5000/cdn/free/icons/arrow-left.svg
bg-arrow-left-circle | regular | free | \e955 | http://localhost:5000/cdn/free/icons/arrow-left-circle.svg
bgs-arrow-left-circle | solid | free | \e956 | http://localhost:5000/cdn/free/icons/arrow-left-circle--solid.svg
bg-arrow-out-down | regular | free | \e957 | http://localhost:5000/cdn/free/icons/arrow-out-down.svg
bg-arrow-out-left | regular | free | \e958 | http://localhost:5000/cdn/free/icons/arrow-out-left.svg
